date,close,high,low,volume,code
2017-09-04 14:10,8.73,8.75,8.73,365.0,000529
2017-09-04 14:15,8.73,8.74,8.73,486.0,000529
2017-09-04 14:20,8.75,8.76,8.73,820.0,000529
2017-09-04 14:25,8.74,8.76,8.73,491.0,000529
2017-09-04 14:30,8.75,8.76,8.73,415.0,000529
2017-09-04 14:35,8.75,8.75,8.74,454.0,000529
2017-09-04 14:40,8.74,8.75,8.74,405.0,000529
2017-09-04 14:45,8.74,8.75,8.73,568.0,000529
2017-09-04 14:50,8.73,8.75,8.73,820.0,000529
2017-09-04 14:55,8.76,8.76,8.73,1151.0,000529
2017-09-04 15:00,8.75,8.76,8.75,294.0,000529
2017-09-05 09:35,8.78,8.79,8.76,542.0,000529
2017-09-05 09:40,8.76,8.78,8.72,1011.0,000529
2017-09-05 09:45,8.75,8.76,8.73,606.0,000529
2017-09-05 09:50,8.75,8.77,8.74,1474.0,000529
2017-09-05 09:55,8.75,8.77,8.74,840.0,000529
2017-09-05 10:00,8.77,8.77,8.74,683.0,000529
2017-09-05 10:05,8.76,8.77,8.75,407.0,000529
2017-09-05 10:10,8.75,8.76,8.75,839.0,000529
2017-09-05 10:15,8.75,8.76,8.74,810.0,000529
2017-09-05 10:20,8.76,8.77,8.75,387.0,000529
2017-09-05 10:25,8.74,8.77,8.74,631.0,000529
2017-09-05 10:30,8.75,8.76,8.74,477.0,000529
2017-09-05 10:35,8.73,8.75,8.73,659.0,000529
2017-09-05 10:40,8.73,8.74,8.72,1110.0,000529
2017-09-05 10:45,8.73,8.74,8.73,352.0,000529
2017-09-05 10:50,8.75,8.75,8.73,300.0,000529
2017-09-05 10:55,8.74,8.76,8.73,845.0,000529
2017-09-05 11:00,8.73,8.74,8.73,545.0,000529
2017-09-05 11:05,8.73,8.74,8.73,231.0,000529
2017-09-05 11:10,8.72,8.74,8.72,537.0,000529
2017-09-05 11:15,8.74,8.75,8.72,480.0,000529
2017-09-05 11:20,8.74,8.75,8.73,349.0,000529
2017-09-05 11:25,8.77,8.77,8.74,1038.0,000529
2017-09-05 11:30,8.77,8.77,8.76,10.0,000529
2017-09-05 13:05,8.76,8.77,8.76,276.0,000529
2017-09-05 13:10,8.76,8.77,8.75,314.0,000529
2017-09-05 13:15,8.76,8.76,8.75,134.0,000529
2017-09-05 13:20,8.76,8.77,8.75,457.0,000529
2017-09-05 13:25,8.77,8.78,8.76,316.0,000529
2017-09-05 13:30,8.77,8.78,8.76,587.0,000529
2017-09-05 13:35,8.76,8.78,8.76,368.0,000529
2017-09-05 13:40,8.76,8.77,8.75,784.0,000529
2017-09-05 13:45,8.75,8.76,8.75,172.0,000529
2017-09-05 13:50,8.75,8.76,8.74,179.0,000529
2017-09-05 13:55,8.75,8.76,8.75,84.0,000529
2017-09-05 14:00,8.75,8.76,8.74,251.0,000529
2017-09-05 14:05,8.78,8.78,8.75,692.0,000529
2017-09-05 14:10,8.79,8.79,8.76,526.0,000529
2017-09-05 14:15,8.79,8.8,8.78,367.0,000529
2017-09-05 14:20,8.81,8.82,8.78,945.0,000529
2017-09-05 14:25,8.8,8.82,8.78,627.0,000529
2017-09-05 14:30,8.8,8.81,8.78,579.0,000529
2017-09-05 14:35,8.8,8.81,8.79,410.0,000529
2017-09-05 14:40,8.8,8.81,8.79,793.0,000529
2017-09-05 14:45,8.78,8.81,8.78,810.0,000529
2017-09-05 14:50,8.78,8.8,8.78,366.0,000529
2017-09-05 14:55,8.75,8.78,8.75,885.0,000529
2017-09-05 15:00,8.76,8.76,8.75,952.0,000529
2017-09-06 09:35,8.76,8.76,8.7,1115.0,000529
2017-09-06 09:40,8.76,8.78,8.74,481.0,000529
2017-09-06 09:45,8.75,8.76,8.74,401.0,000529
2017-09-06 09:50,8.73,8.74,8.72,744.0,000529
2017-09-06 09:55,8.75,8.75,8.73,241.0,000529
2017-09-06 10:00,8.74,8.75,8.73,111.0,000529
2017-09-06 10:05,8.76,8.78,8.73,318.0,000529
2017-09-06 10:10,8.77,8.78,8.76,220.0,000529
2017-09-06 10:15,8.76,8.78,8.75,577.0,000529
2017-09-06 10:20,8.77,8.78,8.75,506.0,000529
2017-09-06 10:25,8.75,8.77,8.74,354.0,000529
2017-09-06 10:30,8.75,8.75,8.73,582.0,000529
2017-09-06 10:35,8.74,8.75,8.73,1026.0,000529
2017-09-06 10:40,8.74,8.75,8.74,337.0,000529
2017-09-06 10:45,8.73,8.74,8.73,261.0,000529
2017-09-06 10:50,8.75,8.75,8.73,908.0,000529
2017-09-06 10:55,8.73,8.75,8.73,430.0,000529
2017-09-06 11:00,8.75,8.75,8.73,162.0,000529
2017-09-06 11:05,8.75,8.75,8.74,223.0,000529
2017-09-06 11:10,8.75,8.75,8.74,174.0,000529
2017-09-06 11:15,8.74,8.75,8.74,363.0,000529
2017-09-06 11:20,8.75,8.75,8.74,143.0,000529
2017-09-06 11:25,8.75,8.75,8.73,515.0,000529
2017-09-06 11:30,8.75,8.75,8.74,451.0,000529
2017-09-06 13:05,8.74,8.75,8.73,105.0,000529
2017-09-06 13:10,8.75,8.75,8.74,270.0,000529
2017-09-06 13:15,8.75,8.76,8.74,480.0,000529
2017-09-06 13:20,8.76,8.77,8.75,849.0,000529
2017-09-06 13:25,8.76,8.76,8.75,278.0,000529
2017-09-06 13:30,8.77,8.77,8.75,593.0,000529
2017-09-06 13:35,8.77,8.78,8.76,179.0,000529
2017-09-06 13:40,8.76,8.77,8.76,289.0,000529
2017-09-06 13:45,8.76,8.77,8.75,334.0,000529
2017-09-06 13:50,8.75,8.76,8.74,845.0,000529
2017-09-06 13:55,8.73,8.76,8.73,1091.0,000529
2017-09-06 14:00,8.75,8.75,8.73,321.0,000529
2017-09-06 14:05,8.75,8.75,8.74,353.0,000529
2017-09-06 14:10,8.74,8.75,8.73,169.0,000529
2017-09-06 14:15,8.74,8.75,8.73,403.0,000529
2017-09-06 14:20,8.73,8.74,8.73,560.0,000529
2017-09-06 14:25,8.73,8.74,8.72,433.0,000529
2017-09-06 14:30,8.73,8.74,8.72,505.0,000529
2017-09-06 14:35,8.73,8.74,8.73,638.0,000529
2017-09-06 14:40,8.73,8.74,8.72,754.0,000529
2017-09-06 14:45,8.74,8.75,8.73,585.0,000529
2017-09-06 14:50,8.73,8.74,8.72,759.0,000529
2017-09-06 14:55,8.72,8.73,8.71,1771.0,000529
2017-09-06 15:00,8.73,8.73,8.71,923.0,000529
2017-09-07 09:35,8.69,8.74,8.67,2202.0,000529
2017-09-07 09:40,8.7,8.71,8.69,302.0,000529
2017-09-07 09:45,8.72,8.72,8.69,817.0,000529
2017-09-07 09:50,8.71,8.72,8.7,518.0,000529
2017-09-07 09:55,8.74,8.74,8.7,802.0,000529
2017-09-07 10:00,8.73,8.74,8.72,1064.0,000529
2017-09-07 10:05,8.76,8.76,8.73,786.0,000529
2017-09-07 10:10,8.73,8.76,8.73,557.0,000529
2017-09-07 10:15,8.76,8.76,8.73,535.0,000529
2017-09-07 10:20,8.76,8.76,8.75,251.0,000529
2017-09-07 10:25,8.75,8.76,8.75,381.0,000529
2017-09-07 10:30,8.75,8.76,8.74,574.0,000529
2017-09-07 10:35,8.76,8.76,8.74,355.0,000529
2017-09-07 10:40,8.75,8.76,8.74,423.0,000529
2017-09-07 10:45,8.73,8.75,8.73,506.0,000529
2017-09-07 10:50,8.74,8.75,8.73,167.0,000529
2017-09-07 10:55,8.74,8.74,8.73,276.0,000529
2017-09-07 11:00,8.74,8.74,8.72,497.0,000529
2017-09-07 11:05,8.72,8.74,8.71,927.0,000529
2017-09-07 11:10,8.74,8.74,8.72,152.0,000529
2017-09-07 11:15,8.75,8.75,8.73,298.0,000529
2017-09-07 11:20,8.73,8.75,8.73,562.0,000529
2017-09-07 11:25,8.75,8.75,8.73,244.0,000529
2017-09-07 11:30,8.73,8.75,8.73,360.0,000529
2017-09-07 13:05,8.75,8.75,8.73,447.0,000529
2017-09-07 13:10,8.74,8.75,8.74,255.0,000529
2017-09-07 13:15,8.74,8.75,8.74,218.0,000529
2017-09-07 13:20,8.75,8.76,8.74,426.0,000529
2017-09-07 13:25,8.76,8.77,8.75,797.0,000529
2017-09-07 13:30,8.77,8.77,8.75,210.0,000529
2017-09-07 13:35,8.77,8.77,8.75,72.0,000529
2017-09-07 13:40,8.75,8.77,8.75,193.0,000529
2017-09-07 13:45,8.75,8.77,8.75,256.0,000529
2017-09-07 13:50,8.76,8.76,8.75,605.0,000529
2017-09-07 13:55,8.76,8.76,8.75,435.0,000529
2017-09-07 14:00,8.76,8.76,8.74,332.0,000529
2017-09-07 14:05,8.76,8.76,8.75,210.0,000529
2017-09-07 14:10,8.77,8.77,8.75,160.0,000529
2017-09-07 14:15,8.75,8.77,8.75,830.0,000529
2017-09-07 14:20,8.74,8.76,8.74,493.0,000529
2017-09-07 14:25,8.75,8.76,8.74,244.0,000529
2017-09-07 14:30,8.74,8.76,8.74,729.0,000529
2017-09-07 14:35,8.72,8.75,8.72,780.0,000529
2017-09-07 14:40,8.72,8.74,8.72,504.0,000529
2017-09-07 14:45,8.71,8.73,8.71,1336.0,000529
2017-09-07 14:50,8.7,8.72,8.7,1792.0,000529
2017-09-07 14:55,8.69,8.73,8.69,2295.0,000529
2017-09-07 15:00,8.71,8.71,8.69,394.0,000529
2017-09-08 09:35,8.71,8.71,8.67,438.0,000529
2017-09-08 09:40,8.71,8.73,8.7,552.0,000529
2017-09-08 09:45,8.72,8.73,8.7,360.0,000529
2017-09-08 09:50,8.73,8.73,8.71,318.0,000529
2017-09-08 09:55,8.74,8.74,8.72,470.0,000529
2017-09-08 10:00,8.75,8.75,8.74,1190.0,000529
2017-09-08 10:05,8.75,8.75,8.74,427.0,000529
2017-09-08 10:10,8.73,8.75,8.73,585.0,000529
2017-09-08 10:15,8.73,8.74,8.71,707.0,000529
2017-09-08 10:20,8.72,8.73,8.71,344.0,000529
2017-09-08 10:25,8.71,8.73,8.71,402.0,000529
2017-09-08 10:30,8.72,8.73,8.71,278.0,000529
2017-09-08 10:35,8.73,8.73,8.71,889.0,000529
2017-09-08 10:40,8.7,8.74,8.7,1641.0,000529
2017-09-08 10:45,8.72,8.74,8.69,1300.0,000529
2017-09-08 10:50,8.72,8.72,8.7,398.0,000529
2017-09-08 10:55,8.72,8.72,8.7,333.0,000529
2017-09-08 11:00,8.71,8.72,8.71,150.0,000529
2017-09-08 11:05,8.7,8.72,8.7,317.0,000529
2017-09-08 11:10,8.71,8.71,8.7,226.0,000529
2017-09-08 11:15,8.71,8.71,8.7,360.0,000529
2017-09-08 11:20,8.71,8.71,8.7,444.0,000529
2017-09-08 11:25,8.73,8.73,8.7,1231.0,000529
2017-09-08 11:30,8.75,8.75,8.7,1018.0,000529
2017-09-08 13:05,8.73,8.75,8.73,338.0,000529
2017-09-08 13:10,8.73,8.73,8.72,429.0,000529
2017-09-08 13:15,8.73,8.74,8.73,730.0,000529
2017-09-08 13:20,8.73,8.74,8.7,444.0,000529
2017-09-08 13:25,8.72,8.74,8.71,317.0,000529
2017-09-08 13:30,8.73,8.74,8.71,279.0,000529
2017-09-08 13:35,8.71,8.73,8.71,281.0,000529
2017-09-08 13:40,8.73,8.73,8.71,392.0,000529
2017-09-08 13:45,8.72,8.73,8.71,800.0,000529
2017-09-08 13:50,8.73,8.73,8.71,252.0,000529
2017-09-08 13:55,8.73,8.73,8.72,76.0,000529
2017-09-08 14:00,8.73,8.74,8.72,182.0,000529
2017-09-08 14:05,8.73,8.73,8.72,258.0,000529
2017-09-08 14:10,8.71,8.73,8.7,2386.0,000529
2017-09-08 14:15,8.7,8.72,8.69,898.0,000529
2017-09-08 14:20,8.69,8.71,8.69,576.0,000529
2017-09-08 14:25,8.69,8.71,8.69,565.0,000529
2017-09-08 14:30,8.69,8.71,8.68,421.0,000529
2017-09-08 14:35,8.69,8.71,8.67,939.0,000529
2017-09-08 14:40,8.69,8.71,8.69,342.0,000529
2017-09-08 14:45,8.7,8.71,8.69,339.0,000529
2017-09-08 14:50,8.7,8.7,8.69,562.0,000529
2017-09-08 14:55,8.73,8.73,8.69,784.0,000529
2017-09-08 15:00,8.73,8.73,8.72,158.0,000529
2017-09-11 09:35,8.71,8.75,8.7,422.0,000529
2017-09-11 09:40,8.71,8.73,8.68,804.0,000529
2017-09-11 09:45,8.71,8.71,8.69,851.0,000529
2017-09-11 09:50,8.71,8.73,8.71,1172.0,000529
2017-09-11 09:55,8.7,8.72,8.67,1590.0,000529
2017-09-11 10:00,8.69,8.7,8.68,445.0,000529
2017-09-11 10:05,8.69,8.7,8.68,374.0,000529
2017-09-11 10:10,8.7,8.71,8.69,888.0,000529
2017-09-11 10:15,8.7,8.71,8.7,380.0,000529
2017-09-11 10:20,8.71,8.72,8.7,1140.0,000529
2017-09-11 10:25,8.72,8.72,8.7,585.0,000529
2017-09-11 10:30,8.71,8.72,8.71,645.0,000529
2017-09-11 10:35,8.72,8.72,8.71,466.0,000529
2017-09-11 10:40,8.72,8.72,8.71,386.0,000529
2017-09-11 10:45,8.72,8.72,8.71,576.0,000529
2017-09-11 10:50,8.73,8.73,8.71,472.0,000529
2017-09-11 10:55,8.73,8.73,8.71,88.0,000529
2017-09-11 11:00,8.73,8.73,8.71,299.0,000529
2017-09-11 11:05,8.72,8.73,8.72,815.0,000529
2017-09-11 11:10,8.71,8.73,8.71,269.0,000529
2017-09-11 11:15,8.72,8.73,8.71,217.0,000529
2017-09-11 11:20,8.72,8.73,8.71,327.0,000529
2017-09-11 11:25,8.73,8.73,8.72,203.0,000529
2017-09-11 11:30,8.72,8.73,8.72,290.0,000529
2017-09-11 13:05,8.72,8.73,8.71,859.0,000529
2017-09-11 13:10,8.72,8.72,8.71,633.0,000529
2017-09-11 13:15,8.72,8.73,8.71,431.0,000529
2017-09-11 13:20,8.72,8.73,8.72,207.0,000529
2017-09-11 13:25,8.72,8.73,8.72,518.0,000529
2017-09-11 13:30,8.73,8.73,8.71,340.0,000529
2017-09-11 13:35,8.72,8.73,8.71,423.0,000529
2017-09-11 13:40,8.73,8.73,8.71,481.0,000529
2017-09-11 13:45,8.73,8.74,8.72,223.0,000529
2017-09-11 13:50,8.72,8.73,8.71,333.0,000529
2017-09-11 13:55,8.72,8.73,8.71,251.0,000529
2017-09-11 14:00,8.73,8.73,8.71,371.0,000529
2017-09-11 14:05,8.72,8.73,8.71,204.0,000529
